id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
132,Zurion Technologies,"Mombasa, Mombasa County, Kenya",Kenya,https://zuriontech.com,jobs@zuriontech.com,hiring / jobs inbox,Mombasa software firm hiring Java web developers for API & SOAP/REST integrations.,2-10,LinkedIn,Java Web Developer (API & SOAP/REST Integrations)
133,Afrihood Development Company,"Lagos, Nigeria",Nigeria,https://afrihood.com,hello@afrihood.com; hr@afrihood.com,hello / hr,Real-estate and infrastructure PropTech startup building marketplace and product platforms.,~4,LinkedIn,Full Stack Developer
134,AMD Solutions 007,"Abuja, Nigeria",Nigeria,https://www.amdsolutions007.com,info@amdsolutions007.com; hello@amdsolutions007.com,info / hello,Nigerian AI/automation and custom software agency.,1-20,LinkedIn,Software Developer
135,Aqqute Labs,"Port Harcourt, Nigeria",Nigeria,https://aqqute.com,hi@aqqute.com,general,"Port Harcourt digital agency for websites, apps, and digital storytelling.",~5,LinkedIn,Dynamic Generalist
136,Awari App / Lost in a City,"Lagos, Nigeria",Nigeria,https://linktr.ee/kkls.awari,info@awariapp.com; info@lostinlagos.com,info,"Lifestyle discovery app for businesses, events, and city experiences in Lagos/Abuja.",~13,Indeed,Mobile App Developer
137,Awarri,"Lagos, Nigeria",Nigeria,https://awarri.com,info@awarri.com,info,"AI company building multilingual African LLMs, data platforms, and robotics education products.",20-60,Indeed,Senior Frontend Developer
138,Bakkaz Information and Technology Ltd,"Lagos, Nigeria",Nigeria,https://bakkaz.com,info@bakkaz.com,info,Software and digital product studio building platforms alongside trading/investment arms.,5-20,Indeed,"Web Developer (ReactJs, NextJs, TypeScript)"
139,Belema Financial Technology,"Port Harcourt / Lagos, Nigeria",Nigeria,https://belemafintech.com,info@belemafintech.com,info,"Fintech providing payments, POS agency banking, switching/processing, and merchant services.",20-80,Indeed,Mobile Developer (Flutter)
140,Bema Integrated Services,"Lagos, Nigeria",Nigeria,,bemamarketing@bemamusic.com,marketing / hiring,Organization building software products around Christian music ministry and digital platforms.,5-30,LinkedIn,Wordpress AND MERN Full Stack Developer
141,Big Field Digital,"Ibadan, Nigeria",Nigeria,https://www.bigfielddigital.com,info@bigfielddigital.com,info,"Ibadan digital agency for mobile apps, web development, and digital marketing.",~5,LinkedIn,Web Developer
142,Bincom Dev Center,"Lagos, Nigeria",Nigeria,https://bincomdevcenter.com,bincomdevcenter@bincom.net,careers / training,ICT solutions and developer training center delivering web and mobile client projects.,~12,Indeed,Trainee Mobile App Developer
143,Boxvibe,"Port Harcourt, Nigeria",Nigeria,https://www.boxvibe.com,info@boxvibe.com,info,"Port Harcourt web design, software, and SEO agency.",1-10,Indeed,Web Designer
144,Brela Agency,"Port Harcourt, Nigeria",Nigeria,https://brela.agency,hello@brela.agency,hello,"Port Harcourt WordPress and digital agency for web, SEO, and software.",~5,LinkedIn,Web Developer
145,ByteWorks Technology Solutions,"Abuja, Nigeria",Nigeria,https://byteworks.com.ng,info@byteworks.com.ng,info,Software development company focused on revenue automation and enterprise engineering.,30-50,Indeed,Full Stack Software Developer (Java)
146,Centralelite Services,"Lagos, Nigeria",Nigeria,,centralelitedigitals@gmail.com,staffing partner,Tech/recruitment partner posting frontend and backend software engineer roles.,<50,Indeed,Frontend Software Engineer
147,Charis Blueweb Ltd®,"Ibadan, Oyo State, Nigeria",Nigeria,https://charisblueweb.com,info@charisblueweb.com,info / contact,Charis Blueweb Ltd® proudly holds the #1 Top Rated position for web ...,11-50,LinkedIn,React Developer
148,CircleHQ Company,"Lagos, Nigeria",Nigeria,https://circlehqcompany.com,circlehqcompany@gmail.com,founder,"Small AI automation company building custom AI systems, chatbots, and ops tools for businesses.",~5,LinkedIn,Backend Developer
149,Cloud Technology Hub,"Abuja, Nigeria",Nigeria,https://cloudtechnologyhub.com,info@cloudtechnologyhub.com; careers@cloudtechnologyhub.com,info / careers,Nigerian software/tech hub hiring backend engineers.,11-50,Indeed,Senior Backend Engineer
150,Crown Interactive,"Lagos, Lagos State, Nigeria",Nigeria,https://www.crowninteractive.com,info@crowninteractive.com,info / contact,Digital agency hiring web/software developers.,51-100,LinkedIn,Content Marketing Associate at Crown Interactive
151,Dantown,"Port Harcourt, Nigeria",Nigeria,https://godantown.com,info@godantown.com; support@godantown.com,info / support,Port Harcourt fintech/software startup hiring backend developers.,~32,Indeed,Backend Developer
152,EasyWin Lotto Ltd,"Lagos, Nigeria",Nigeria,https://easywin.ng,chinedu@easywin.ng,engineering contact,"Online sports betting, lotto, and casino platform hiring frontend/mobile engineers.",20-60,Indeed,Frontend Developer (Vue.js / React Native)
153,eHealth4everyone,"Abuja, Nigeria",Nigeria,https://ehealth4everyone.com,info@ehealth4everyone.com; recruitment@e4email.net,info / recruitment,"Digital health software enterprise building EMR, DHIS2, dashboards, and health data platforms.",~58,Indeed,Javascript Backend Developer (Node.JS)
154,Elonatech Nigeria Limited,"Lagos, Nigeria",Nigeria,https://elonatech.com.ng,info@elonatech.com.ng,info,"IT solutions company providing web development, digital services, and tech sales/support.",10-40,Indeed,Full Stack Software Developer
155,Escrow-Tech,"Lagos / Abuja, Nigeria",Nigeria,https://escrow-tech.co.uk,HR.Nigeria@escrow-tech.co.uk,hr,Building Carbon-Adjust clearing platform for real-time energy capacity and IoT load matching.,<50,LinkedIn,Senior Backend Engineer
156,Estility,"Lagos, Nigeria",Nigeria,https://estility.co,hr@estility.co; ceo@estility.co; support@estility.co,hr / ceo,Convenience and home-services platform connecting users with essential delivery and services.,<50,LinkedIn,Senior Software Engineer
157,Flux Creative Technologies,"Lagos, Nigeria",Nigeria,https://fluxcreativetech.com,info@fluxcreativetech.com; daisy@fluxcreativetech.com,info / hr,Product and engineering agency building web/mobile apps and AI systems for African founders.,5-20,LinkedIn,Product Manager (Internship)
158,FMC AGENCY LTD,"Lagos State, Nigeria",Nigeria,https://www.thefmcagency.com,info@thefmcagency.com,info / contact,Digital agency hiring web/software developers.,51-100,LinkedIn,Digital Marketing Manager
159,INFINION Technologies,"Lagos, Nigeria",Nigeria,https://infinion.co,info@infinion.co; sales@infinion.co,info / sales,"Digital transformation firm offering custom software, cloud, DevOps, AI, and Microsoft solutions.",40-80,Indeed,Mobile Developer
160,InfoWARE Limited,"Lagos, Nigeria",Nigeria,https://infowarelimited.com,support@infowarelimited.com,support,Financial markets software company providing trading and business solutions for African institutions.,11-20,Indeed,Software Developer — Mobile Applications
161,Koloxo West Africa,"Lagos, Nigeria",Nigeria,https://koloxo.com,koloxo@koloxo.com,general,"Operates AI92, an AI-driven marketing automation and customer-engagement platform.",5-25,Indeed,Mobile App Developer
162,Korapay (Kora),"Lagos, Nigeria",Nigeria,https://www.korahq.com,support@korapay.com,support,Payment infrastructure for Africa offering plug-and-play payment solutions (verify headcount).,verify <100,LinkedIn,Senior Full-Stack Engineer
163,KTREX,"Abuja, Nigeria",Nigeria,https://ktrex.com.ng,info@ktrex.com.ng; hello@ktrex.com.ng,info / hello,Abuja digital agency for web and software services.,1-20,Indeed,Web Developer
164,Loctech Nigeria Limited,"Port Harcourt, Nigeria",Nigeria,https://loctech.com,info@loctechng.com,info,Port Harcourt tech training and software firm.,11-50,Indeed,Fullstack Web Developer
165,Lorgarithm,"Lagos, Nigeria",Nigeria,https://www.lorgarithm.com,lorgarithminfo@gmail.com,info,Vetted talentbank SaaS product hiring NestJS/Next.js full-stack engineers.,~3,Indeed,Full Stack Engineer
166,Luster Marketing Agency,"Lagos, Nigeria",Nigeria,,contact@lustermarketing.com,contact,Digital marketing agency helping brands scale online presence with content and campaigns.,5-20,Indeed,Digital Marketing Associate
167,MIST Digital Agency,"Lagos, Nigeria",Nigeria,https://mist.com.ng,info@mist.com.ng; hello@mist.com.ng; hr@mist.com.ng,info / hello / hr,"Small web design, development, SEO, and digital marketing agency.",~3,Indeed,Social Media & Digital Marketing Intern
168,NeoMinds Edutech Ltd,"Abuja, Nigeria",Nigeria,https://neominds.ng,info@neominds.ng; careers@neominds.ng,info / careers,Nigerian edtech/software company.,1-20,Indeed,UI/UX Design Intern
169,NomJet,Lagos (remote) / UK ops,Nigeria,https://nomjet.co.uk,info@nomjet.co.uk,info,Food technology company building a social food-commerce platform (hiring remote Nigeria engineers).,~3,LinkedIn,Senior Software Engineer (AI & Mobile)
170,Odixcity Consulting,"Abuja, Nigeria",Nigeria,https://odixcity.com,info@odixcity.com; careers@odixcity.com,info / careers,Abuja tech consultancy posting JavaScript/MERN developer roles (also lists Senegal).,1-50,Indeed,JavaScript Developer
171,Paramount Web,"Abuja, Nigeria",Nigeria,https://paramountweb.com,info@paramountweb.com,info,"Nigerian web design company serving Abuja, Port Harcourt, and Lagos since 2008.",1-20,Indeed,Web Designer
172,Punch Group,"Lagos, Nigeria",Nigeria,https://punch.cool,start@punch.cool; start@punch-agency.com,founder / new business,AI and software engineering digital agency building production web and AI products.,~95,LinkedIn,Full Stack Web Developer
173,PureWeb Technologies,"Abuja, Nigeria",Nigeria,https://pureweb360.com,info@pureweb360.com; sales@pureweb360.com,info / sales,Abuja web and software solutions company.,11-50,Indeed,Web Developer
174,Riby,"Lagos, Nigeria",Nigeria,https://www.riby.ng,info@riby.me; sales@riby.ng; careers@riby.me,info / sales / careers,"Fintech SaaS for cooperatives: thrift, loans, savings, and co-banking management software.",~14,Indeed,Android Developer
175,ROB Technologies,"Abuja, Nigeria",Nigeria,https://robtechnologies.com,info@robtechnologies.com; hello@robtechnologies.com,info / hello,Nigerian software firm posting backend developer roles.,1-50,Indeed,Backend Developer
176,SilvaCreate,"Port Harcourt, Nigeria",Nigeria,https://silvacreate.com,david@silvacreate.com,founder / CTO,Port Harcourt web design and digital marketing agency.,1-20,Indeed,Web Designer
177,SMARTROB Technologies,"Lagos, Nigeria",Nigeria,https://smartrobtech.com,info@smartrobtech.com,info,Web and software development agency specializing in fintech/payment apps and digital products.,~4,Indeed,Mobile App Developer
178,Snaarp,"Lagos, Nigeria",Nigeria,https://snaarp.com,hr@snaarp.com,hr,Cybersecurity and cloud productivity SaaS for securing and collaborating on business data.,10-40,Indeed,Full-Stack Developer
179,Snapnet Solutions Limited,"Lagos, Nigeria",Nigeria,https://www.snapnetsolutions.com,info@snapnetsolutions.com,info,"ERP, cloud, analytics, security, and custom software development / managed IT services.",~56,Indeed,Node Js Backend Engineer
180,Squareme,"Lagos, Nigeria",Nigeria,https://squareme.app,hi@squareme.app,general,Fintech building P2P payments via phone numbers and B2B payment platform FundR.,~24,LinkedIn,Backend Engineer
181,Tezza Business Solutions Ltd,"Lagos, Lagos State, Nigeria",Nigeria,https://tezzasolutions.com/,info@tezzasolutions.com,info / contact,“Tezza”(te-zza) from the Italian word “C...,51-100,LinkedIn,Full Stack Developer (MERN)
182,Glophics Web Design and Advertising Inc.,"Cebu City, Central Visayas, Philippines",Philippines,https://www.glophics.com.ph,glophicswebdesign@gmail.com,contact / careers,Cebu full-service web design and advertising agency hiring front-end and backend web developers.,11-50,Indeed,Front-End Web Developer
183,"Infomax Systems Solutions and Services, Inc.","Makati, National Capital Region, Philippines",Philippines,https://infomax.com.ph,infomax.marketing@gmail.com; inquiry@infomax.com.ph; rose.cabrejas@infomax.com.ph,public inbox,"A WORLD-CLASS IT SOLUTIONS PROVIDER WITH OVER 20 YEARS OF EXPERIENCE Our company, Infomax Sys...",11-50,LinkedIn,Outsystems Developer
184,Propelrr,"Manila, National Capital Region, Philippines",Philippines,https://propelrr.com,hello@propelrr.com; careers@propelrr.com,hello / general,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Frontend Developer
185,SVEN - The Digital 1st Agency,"Quezon City, National Capital Region, Philippines",Philippines,https://www.svengroup.com,refresh@svengroup.com,public inbox,Digital agency hiring web/software developers.,51-100,LinkedIn,Sr. Web Developer
186,"Weave Solutions, Inc.","Manila, National Capital Region, Philippines",Philippines,https://weave-solutions.com/,hello@weave-solutions.com; contact@mysite.com,hello / general,Hire faster. Spend less. Run a better team offshore. | WEAVE Solutions Inc. is a company established ...,51-100,LinkedIn,Power Platform Developer
187,Ably Digital,"Singapore, Singapore",Singapore,https://ablydigital.com/,info@ablydigital.com,info / contact,Digital agency hiring web/software developers.,2-10,LinkedIn,"ServiceNow Developer – CSM, AngularJS & App Engine"
188,Flowmingo AI,Singapore,Singapore,https://flowmingo.ai/?utm_source=LinkedinOrganic,contact@flowmingo.ai,info / contact,Recruiters waste hours on repetitive screening calls. F...,11-50,LinkedIn,UI/UX Engineer
189,Red Dot AI,Singapore,Singapore,https://www.rda.ai/,contact@rda.ai,info / contact,RED DOT AI is a Singapore-based AI infrastructure company building the intelligence layer for the next generation of data centres an...,11-50,LinkedIn,Full Stack Engineer / Software Engineer
190,AdMakers International,"Cape Town, Western Cape, South Africa",South Africa,https://www.admakers.com/,info@admakers.com; duan@admakers.com,info / contact,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Junior Front-End Web Developer (React / Next.js)
191,Affiliate.co.za,"Johannesburg, South Africa",South Africa,https://affiliate.co.za,info@affiliate.co.za,founders,Small SA affiliate-network / advertising-tech company with in-house development.,<25,Indeed,JUNIOR / MID FULL STACK DEVELOPER
